algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
BFS,1,7058,100,112,0.026993513107299805,True
BFS,2,9147,144,224,0.012948036193847656,True
BFS,3,1299,38,111,0.0015521049499511719,True
BFS,4,8153,98,137,0.010474443435668945,True
BFS,5,6747,71,230,0.009103536605834961,True
BFS,6,1358,28,69,0.002042531967163086,True
BFS,7,7080,98,305,0.010217905044555664,True
BFS,8,6096,73,210,0.008146524429321289,True
BFS,9,4089,50,69,0.00561833381652832,True
BFS,10,4434,56,92,0.00590968132019043,True
BFS,11,4497,76,247,0.005939483642578125,True
BFS,12,4590,54,96,0.00597691535949707,True
BFS,13,5159,57,147,0.006873130798339844,True
BFS,14,8903,104,258,0.023322105407714844,True
BFS,15,6819,94,206,0.008728265762329102,True
BFS,16,8507,133,359,0.011053085327148438,True
BFS,17,2684,39,54,0.0035390853881835938,True
BFS,18,2477,39,131,0.003325939178466797,True
BFS,19,7627,103,248,0.0209658145904541,True
BFS,20,921,30,110,0.0012621879577636719,True
BFS,21,3758,74,80,0.004991292953491211,True
BFS,22,6530,75,150,0.008971452713012695,True
BFS,23,4349,61,197,0.005436420440673828,True
BFS,24,8422,124,391,0.010916709899902344,True
BFS,25,2228,43,94,0.0030012130737304688,True
BFS,26,8378,118,259,0.011104822158813477,True
BFS,27,232,12,47,0.00027823448181152344,True
BFS,28,1614,32,38,0.0020525455474853516,True
BFS,29,857,30,36,0.0010318756103515625,True
BFS,30,6680,93,305,0.008626222610473633,True
DFS,1,3463,122,162,0.005475759506225586,True
DFS,2,180,178,296,0.0001552104949951172,True
DFS,3,6753,898,2121,0.010282278060913086,True
DFS,4,2433,148,247,0.0036573410034179688,True
DFS,5,7582,897,2120,0.011261940002441406,True
DFS,6,469,444,975,0.0004723072052001953,True
DFS,7,5234,807,1884,0.008069992065429688,True
DFS,8,4039,872,1951,0.005986452102661133,True
DFS,9,3028,882,1908,0.004469633102416992,True
DFS,10,3457,894,2133,0.01716899871826172,True
DFS,11,396,386,832,0.00036334991455078125,True
DFS,12,2310,792,1824,0.003051280975341797,True
DFS,13,1467,900,2020,0.0018527507781982422,True
DFS,14,3598,885,2089,0.016651391983032227,True
DFS,15,3103,857,1922,0.004531383514404297,True
DFS,16,1326,887,1988,0.0016727447509765625,True
DFS,17,75,74,80,6.961822509765625e-05,True
DFS,18,1482,879,1908,0.0018544197082519531,True
DFS,19,8262,899,2109,0.013031721115112305,True
DFS,20,986,888,1963,0.0009720325469970703,True
DFS,21,1510,892,1948,0.0018188953399658203,True
DFS,22,8343,610,1306,0.012207746505737305,True
UCS,1,4347,100,112,0.011173009872436523,True
UCS,2,9116,144,224,0.021669387817382812,True
UCS,3,1751,38,111,0.004079103469848633,True
UCS,4,6821,98,137,0.016492128372192383,True
UCS,5,8302,71,230,0.030475616455078125,True
UCS,6,1492,28,69,0.003528118133544922,True
UCS,7,6631,98,305,0.015253782272338867,True
UCS,8,6091,73,210,0.014249801635742188,True
UCS,9,2032,50,69,0.0045735836029052734,True
UCS,10,3636,56,92,0.008980035781860352,True
UCS,11,4402,76,247,0.01016092300415039,True
UCS,12,3975,54,96,0.010133981704711914,True
UCS,13,4390,57,147,0.00998067855834961,True
UCS,14,8745,104,258,0.019998788833618164,True
UCS,15,8651,94,206,0.019342422485351562,True
UCS,16,8596,133,359,0.01955270767211914,True
UCS,17,1285,39,54,0.002988100051879883,True
UCS,18,4331,39,131,0.010465621948242188,True
UCS,19,6865,103,248,0.01564955711364746,True
UCS,20,1077,30,110,0.002168893814086914,True
UCS,21,1400,74,80,0.0031385421752929688,True
UCS,22,6439,75,150,0.01487278938293457,True
UCS,23,6625,61,197,0.015484809875488281,True
UCS,24,7512,124,391,0.0284726619720459,True
UCS,25,1710,43,94,0.003902912139892578,True
UCS,26,9069,118,259,0.021297693252563477,True
UCS,27,448,12,47,0.0009484291076660156,True
UCS,28,627,32,38,0.0013494491577148438,True
UCS,29,507,30,36,0.0011298656463623047,True
UCS,30,6779,93,305,0.015428543090820312,True
A*,1,463,100,112,0.0014832019805908203,True
A*,2,4269,144,224,0.011635780334472656,True
A*,3,81,38,111,0.00022792816162109375,True
A*,4,2019,98,137,0.005316019058227539,True
A*,5,790,71,230,0.00202178955078125,True
A*,6,210,28,69,0.00055694580078125,True
A*,7,760,98,305,0.001992940902709961,True
A*,8,409,73,210,0.001089334487915039,True
A*,9,533,50,69,0.0015697479248046875,True
A*,10,397,56,92,0.001169443130493164,True
A*,11,915,76,247,0.002378225326538086,True
A*,12,423,54,96,0.0010883808135986328,True
A*,13,716,57,147,0.001886606216430664,True
A*,14,2386,104,258,0.006500244140625,True
A*,15,1072,94,206,0.002851724624633789,True
A*,16,2811,133,359,0.007677316665649414,True
A*,17,353,39,54,0.0008847713470458984,True
A*,18,78,39,131,0.0002117156982421875,True
A*,19,2274,103,248,0.006417274475097656,True
A*,20,209,30,110,0.0005640983581542969,True
A*,21,236,74,80,0.0006399154663085938,True
A*,22,490,75,150,0.0018053054809570312,True
A*,23,492,61,197,0.0012485980987548828,True
A*,24,2561,124,391,0.006846427917480469,True
A*,25,354,43,94,0.0008575916290283203,True
A*,26,2865,118,259,0.007359027862548828,True
A*,27,24,12,47,7.152557373046875e-05,True
A*,28,135,32,38,0.00035381317138671875,True
A*,29,114,30,36,0.00032782554626464844,True
A*,30,1459,93,305,0.003753185272216797,True
Random walk,1,2163,10000,25058,0.008203983306884766,True
Random walk,2,1705,10000,24998,0.007255077362060547,True
Random walk,3,1970,10000,25128,0.007132768630981445,True
Random walk,4,2222,10000,24893,0.007180452346801758,True
Random walk,5,2436,10000,24983,0.007531881332397461,True
Random walk,6,2124,10000,25103,0.0073854923248291016,True
Random walk,7,1887,10000,25016,0.007224082946777344,True
Random walk,8,2094,10000,25095,0.007292747497558594,True
Random walk,9,2315,10000,24914,0.007386207580566406,True
Random walk,10,2284,10000,24902,0.007132053375244141,True
Random walk,11,1575,6714,16903,0.004822731018066406,True
Random walk,12,2480,10000,25070,0.007365703582763672,True
Random walk,13,1268,4665,11657,0.0032389163970947266,True
Random walk,14,2009,10000,25085,0.007131099700927734,True
Random walk,15,1784,10000,24986,0.006852865219116211,True
Random walk,16,2152,10000,25112,0.006888389587402344,True
Random walk,17,1877,10000,25031,0.007386445999145508,True
Random walk,18,1999,10000,24931,0.0073261260986328125,True
Random walk,19,1713,10000,25021,0.0073125362396240234,True
Random walk,20,1045,5544,13940,0.003988981246948242,True
Random walk,21,2095,10000,24993,0.007496833801269531,True
Random walk,22,2568,10000,24953,0.007349729537963867,True
Random walk,23,1699,10000,25025,0.007066488265991211,True
Random walk,24,1749,10000,24924,0.0071833133697509766,True
Random walk,25,2109,10000,25051,0.007462263107299805,True
Random walk,26,1592,10000,24840,0.007045745849609375,True
Random walk,27,646,2466,6205,0.0017211437225341797,True
Random walk,28,1057,4750,11824,0.003439664840698242,True
Random walk,29,2260,10000,24934,0.006963968276977539,True
Random walk,30,2111,10000,25248,0.0069773197174072266,True
