algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
A*,1,463,100,112,0.0037043094635009766,True
A*,2,4269,144,224,0.03682112693786621,True
A*,3,81,38,111,0.000759124755859375,True
A*,4,2019,98,137,0.01557779312133789,True
A*,5,790,71,230,0.006059408187866211,True
A*,6,210,28,69,0.0022084712982177734,True
A*,7,760,98,305,0.005778312683105469,True
A*,8,409,73,210,0.002986907958984375,True
A*,9,533,50,69,0.004126071929931641,True
A*,10,397,56,92,0.003148794174194336,True
A*,11,915,76,247,0.006952524185180664,True
A*,12,423,54,96,0.0031404495239257812,True
A*,13,716,57,147,0.005604982376098633,True
A*,14,2386,104,258,0.018966197967529297,True
A*,15,1072,94,206,0.008045196533203125,True
A*,16,2811,133,359,0.02136993408203125,True
A*,17,353,39,54,0.0036361217498779297,True
A*,18,78,39,131,0.0011203289031982422,True
A*,19,2274,103,248,0.01822066307067871,True
A*,20,209,30,110,0.0022742748260498047,True
A*,21,236,74,80,0.0018024444580078125,True
A*,22,490,75,150,0.005685329437255859,True
A*,23,492,61,197,0.005379915237426758,True
A*,24,2561,124,391,0.02265024185180664,True
A*,25,354,43,94,0.0023169517517089844,True
A*,26,2865,118,259,0.021219491958618164,True
A*,27,24,12,47,0.0002257823944091797,True
A*,28,135,32,38,0.00115203857421875,True
A*,29,114,30,36,0.0014495849609375,True
A*,30,1459,93,305,0.012442350387573242,True
